Refdatum,rki_7days,rki_14days,rki_28days
2020-07-06,1.4260249554367201,2.13903743315508,3.1639928698752224
2020-07-12,1.6042780748663101,1.9607843137254901,3.2085561497326203
2020-07-15,1.4260249554367201,1.8716577540106951,3.0303030303030303
2020-07-16,1.4260249554367201,1.6934046345811051,2.941176470588235
2020-07-17,1.4260249554367201,1.6934046345811051,2.8520499108734403
2020-07-19,1.4260249554367201,1.5151515151515151,2.762923351158645
2020-07-20,1.4260249554367201,1.5151515151515151,2.6292335115864525
2020-07-21,1.4260249554367201,1.4260249554367201,2.406417112299465
2020-07-25,1.2477718360071302,1.4260249554367201,2.3618538324420677
2020-07-26,1.2477718360071302,1.3368983957219251,2.2727272727272725
2020-07-31,1.4260249554367201,1.4260249554367201,2.0053475935828877
2020-08-01,1.4260249554367201,1.4260249554367201,2.0053475935828877
2020-08-04,1.4260249554367201,1.4260249554367201,2.0053475935828877
2020-08-06,1.9607843137254901,1.6934046345811051,2.13903743315508
2020-08-08,1.9607843137254901,1.6934046345811051,1.9162210338680925
2020-08-09,1.9607843137254901,1.6042780748663101,1.7825311942959001
2020-08-11,2.4955436720142603,1.8716577540106951,1.8716577540106951
2020-08-12,2.6737967914438503,2.049910873440285,1.8716577540106951
2020-08-13,2.8520499108734403,2.13903743315508,1.9162210338680925
2020-08-15,2.8520499108734403,2.13903743315508,1.8270944741532975
2020-08-16,2.3172905525846703,2.13903743315508,1.8270944741532975
2020-08-17,2.6737967914438503,2.3172905525846703,1.8716577540106951
2020-08-18,2.6737967914438503,2.3172905525846703,1.8716577540106951
2020-08-19,2.6737967914438503,2.5846702317290555,1.9607843137254901
2020-08-20,2.4955436720142603,2.5846702317290555,2.0053475935828877
2020-08-21,2.6737967914438503,2.762923351158645,2.0944741532976825
2020-08-22,3.0303030303030303,2.941176470588235,2.1836007130124777
2020-08-23,3.3868092691622103,2.8520499108734403,2.2727272727272725
2020-08-24,3.3868092691622103,3.0303030303030303,2.3618538324420677
2020-08-25,3.5650623885918002,3.119429590017825,2.3618538324420677
2020-08-26,3.9215686274509802,3.297682709447415,2.5846702317290555
2020-08-27,4.09982174688057,3.297682709447415,2.6737967914438503
