GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2020;61-Jährige;156842;187207;44852;44447;8955;21440;88715;28865;118080;263183;63727;17032;61068;36941;42743;35924
31.12.2020;62-Jährige;148439;177076;40957;40703;8531;20302;83567;27154;110813;248486;60151;16248;56262;34602;40081;33295
31.12.2020;63-Jährige;143169;170534;38997;39479;8462;19229;81123;26331;108383;241358;59152;15588;55786;33949;38857;33045
31.12.2020;64-Jährige;138575;163146;38113;39002;7978;18200;77706;26394;103498;230961;56683;14921;56518;34278;36602;33497
31.12.2020;65-Jährige;130515;153098;37395;38870;7723;17095;73903;26587;99205;220286;54282;14080;58266;34993;35486;33525
31.12.2020;66-Jährige;125191;148260;36590;38108;7438;16500;71872;26341;96541;214192;52848;14168;57476;33929;35119;32879
31.12.2020;67-Jährige;119513;141639;35589;37190;7141;15664;67864;25692;92742;202377;51153;13769;57379;33953;33343;32547
31.12.2020;68-Jährige;118531;141535;34866;36047;7064;15792;68184;24676;92855;198563;50456;13359;58003;33332;33030;31995
31.12.2020;69-Jährige;114210;135817;35150;34760;7053;15392;66441;23673;90948;190392;48909;12765;58811;31730;32768;31681
31.12.2020;70-Jährige;113886;136388;36311;32460;7007;15808;67678;21785;89981;188856;49082;12870;56040;30880;32879;29859
